Sentiment,Time,Text
positive,18/6/21,this is a very healthy dog food good for their digestion also good for small puppies my dog eats her required amount at every feeding 
positive,7/7/21,i have been very pleased with the natural balance dog food our dogs have had issues with other dog foods in the past and i had someone recommend natural balance grain free since it is possible they were allergic to grains since switching i have not had any issues it is also helpful that have have different kibble size for larger smaller sized dogs 
positive,18/6/21,before i was educated about feline nutrition i allowed my cats to become addicted to dry cat food i always offered both canned and dry but wish i would have fed them premium quality canned food and limited dry food i have two year old cats and two year old cats the only good quality dry foods they will eat are wellness and innova innova s manufacturer was recently purchased by procter gamble i began looking for a replacement after once again offering several samples from my local holistic pet store holistic select was the only one other than the usual wellness and innova they would eat for finicky cats i recommend trying holistic select it is a good quality food that is very palatable for finicky eaters 
positive,7/7/21,my holistic vet recommended this along with a few other brands we tried them all but my cats prefer this especially the sardine version the best part is their coats are so soft and clean and their eyes are so clear and and i do not want to be rude so i will say this as delicately as i can their waste is far less odorous than cats who eat the mcdonalds junk found in most stores which is a definite plus for me the health benefits are so obvious i highly recommend holistic select 
positive,1/7/21,i bought this coffee because its much cheaper than the ganocafe and has the organic reishi mushroom as well as other healthy antioxidants i did not expect it to taste good but it actually does i have only had it for a few days and for its totally worth it my sisters all take ganocafe but now i am introducing them to this less expensive similar coffee i will follow up on this product in a few weeks 
positive,7/7/21,like the other people mentioned this coffee has a great taste i have tried different instant coffees before but this one is one of the better ones another one of my favorites if you want to try it out though not organic is africafe pure instant coffee 
positive,23/7/21,a good tasting light chip that has some value in nutrition everyone get the munchies is this is a good alternative to eating potato chips 
positive,20/7/21,a grande item delicious fish with the ultimate flavor best ever in a can for all purposes i sent a case to my mother recently diagnosed with diabetes and she loves it as a main entree for cooking patties 
positive,19/7/21,i ordered this product two times now and have been very happy with both the delivery and the product it works great for cooking baking and as a substitute sugar in my chai lattes 
positive,18/6/21,this stuff is great because it is low glycemic substitute this to sugar and you will be doing your body a great favor this size is economical and shipping is fast too i got mine very soon 
positive,7/7/21,these chips are the only ones i found to be tasty and healthy they have fewer fat calories plus higher fiber for those who want good taste and nutrition the perfect blend 
positive,27/6/21,i used to buy these at the local supermarket but they are no longer carried there finding them on amazon i purchased a box and found they were fresh and delicious as i remembered for chips they are also very healthy i definately will buy them again 
positive,21/7/21,i have been feeding liver biscotti for years i was looking for a healthy treat without additives for my epileptic dog additives can be a seizure trigger and liver biscotti filled the bill the ingredients are top quality the bite size bits are perfect for training and do not muck up your pockets the bite size portions also make it possible to give rewards without adding pounds which is a problem with other treats and for dogs with wheat and other sensitivities there is an anti allergenic recipe enthusiastically recommended 
positive,18/6/21,i got these for my gf as she is not supposed to eat any gluten all of the flavors taste great and they seem to be much healthier than regular potato chips if you are looking for a gluten free snack i highly recommend popchips 
positive,7/7/21,i have a free sampling of these chips and i can see me swapping them for my regular chip cravings they remind me of munchos but are less greasy try them 
positive,30/6/21,i tried this chips in a hotel that i stayed at and loved them i ordered them for the office and everyone enjoyed them i am on my second order 
positive,1/7/21,i absolutely love pop chips as a healthy alternative to regular fatty chips the seat salt and pepper and the sour cream and onion are my favorites i do not crave regular chips at all 
positive,24/8/21,i picked up a few bags of these at my local heb and could not help but consume half of a bag in a day the entire stock did not last even a week for me many chips say they have a bold flavor but they never deliver these however do i tried the garlic parmessan chips and the first things i thought was how strong and delicious the parmessan was shortly followed by a garlic flavor combined with a sharp crunch i cannot have enough of these chips i am almost afraid to buy a pack because i know they will not last a month it also helps that these things are pretty healthy for you i mean they are a potato crisp so you cannot be entirely guilt free but i do not knock myself for going to town i just avoid the potato chip aisle these are on when i need to lay low on the snack foods 
positive,21/7/21,i love these chips they always make a great healthy snack when i am stuck at work with just the vending machine for sustenance 
positive,25/6/21,the sun chips are an ok substitute for the usual potato corn whatever chip cooked in oil and over salted they are not nearly as un palatable as i thought they would be have added them to my heart healthy diet regime all are good except for the multi grain style which has the texture of a sheet of plywood 
