Sentiment,Time,Text
negative,10/3/21,something to eat if you re starving but please give real food to hungry people what s in kellogg s corn flakes milled corn sugar malt flavoring high fructose corn syrup salt yes of course it also has lots of yummy preservatives such as bht and a few synthetic vitamins and iron in minute quantities for nutrition you get basically carbs from lots of sugar and almost no protein add skim milk or you ll get saturated fat with a little protein from whole milk for added nutrition include a sliced banana and a capful of wheat germ if you like corn flakes that is your business and you should enjoy them but this is not health food and it is a very poor value for more than cents an ounce per package at this price the inner package s failure to maintain freshness is an even bigger drawback when one thinks of how long it may take to finish ounces of this stuff why not use a vacuum sealed container like kretschmer s wheat germ to preserve freshness after all it s in the same price range so if you are hungry you are really eating the wrong stuff something to eat if you are starving but please give real food to other hungry people please
negative,25/4/21,i ordered a flat of food they were on sale that contained chicken apple compote dinner it contained of this variety and he liked the first one but the others although properly sealed were solid and moldy and stinky one of the turkey dinners in the flat was also improperly sealed the lid popped we were lucky because i just happened to check that one now i m so paranoid that i check all of them several times i called earth s best and they assured me that they haven t had this problem before and that i shouldn t worry about it i m so suprised that this got passed qa qc inspection at a baby food manufacturer why would a company take the risk of bad publicity when baby food manufacturers rely so much on a reputation of safety we also recently opened other jars in this flat after my son refused to eat them and realized that they were rotten of them were completely solid and domed at the top we poked a toothpick down to the bottom of the jar and it was dry throughout shortly after eating his last dinner of this box my son started vomiting and refused to eat we have contacted the usda about this if this happens to you please same your jars so you can give them the information they need it may prevent other babies from getting sick i ll never buy anything from earth s best again
negative,28/9/21,unlike another product i reviewed for vine at least this product does not have sugar per se in it it is carbonated water added to a concentrate mixture of in this order apple grape tangerine and last as well as least acai concentrate the first two on the list apple and grape are two of the most common fruit sweeteners used in beverages etc that is why the product tastes sweetened it has calories quite a lot for oz of flavored carbonated water and all of it is from carbohydrates grams and over of the carbs grams are sugars apple and grapes have some of the highest concentrations of fructose a fruit sugar that not only commonly appears in commercial beverages because it is sweeter than regular cane sugar and thus it is cheaper to use but it is also known to because diarrhea particularly in children so another drink on the hit parade of pretend healthy drinks appealing to the masses concern for their ever growing girth and deluding them that this will help forestall continued growth you are better off drinking diet coke you would be even more better off buying the sparkling flavored waters with no calories my favorite is bella familglia in pomegranate lime lemon and orange flavors and is sold from time to time on amazon as well as your local supermarket better yet buy some organic pure fruit juice such as pomegranate and pour cup in a glass of your favorite sparking water or a quarter cup in a oz bottle of your favorite sparkling water at least it is the actual juice and not some fructose extract
negative,25/5/21,give me better ingredients kind larabars for more or sweeter items genuine junk for less not sure i d invest in a single bar again let alone this size
negative,3/6/21,do not fed your dog any happy hip dogswell product it is not safe google it if your dog has eaten them regularly have the vet do blood work
negative,21/1/21,i love eating them and they are good for watching tv and looking at movies it is not too sweet i like to transfer them to a zip lock baggie so they stay fresh so i can take my time eating them
negative,6/3/21,i purchased the mango flavor and to me it doesn t take like mango at all there is no hint of sweetness and unfortunately there is a hint or aftertaste almost like licorice i ve been consuming various sports nutrition products for decades so i m familiar and have come to like the taste of the most of the products i ve tried the mango flavor is one of the least appealing i ve tasted it s not terrible but it s bad enough that i notice the bad taste every sip i take
negative,17/4/21,seriously this product was as tasteless as they come there are much better tasting products out there but at calories its better than a special k bar or cookie snack pack you just have to season it or combine it with something else to share the flavor
negative,1/6/21,terrible artificial lemon taste like pledge lemon furniture polish don t do this to yourself just use plain flake salt and some fresh grated lemon zest
negative,20/8/21,the taste of these white cheddar flat breads is like a regular cracker which is not bad except that i bought them because i wanted a cheese taste what was a huge disappointment how misleading the packaging of the box is the photo on the box i bought these in store makes it look like it is full of long flatbreads expanding the length and width of the box wrong the plastic tray that holds the crackers is about smaller all around leaving you with about or so small flatbreads what is also bad about this is that the company states they use biodegradable and eco friendly packaging fail they used a huge box for a ridiculously small amount of crackers not ecofriendly at all would i buy these again no i feel ripped off the other crackers like sesame tarragon give you a little more bang for your buck and have more flavor
