Sentiment,Time,Text
positive,18/6/21,This is a very healthy dog food. Good for their digestion. Also good for small puppies. My dog eats her required amount at every feeding.
positive,7/7/21,"I've been very pleased with the Natural Balance dog food. Our dogs have had issues with other dog foods in the past and I had someone recommend Natural Balance grain free since it is possible they were allergic to grains. Since switching I haven't had any issues. It is also helpful that have have different kibble size for larger/smaller sized dogs."
positive,18/6/21,"Before I was educated about feline nutrition, I allowed my cats to become addicted to dry cat food. I always offered both canned and dry, but wish I would have fed them premium quality canned food and limited dry food. I have two 15 year old cats and two 5 year old cats. The only good quality dry foods they will eat are Wellness and Innova. Innova's manufacturer was recently purchased by Procter&Gamble. I began looking for a replacement. After once again offering several samples (from my local holistic pet store) Holistic Select was the only one (other than the usual Wellness and Innova) they would eat. For finicky cats, I recommend trying Holistic Select. It is a good quality food that is very palatable for finicky eaters."
positive,7/7/21,"My holistic vet recommended this, along with a few other brands. We tried them all, but my cats prefer this (especially the sardine version). The best part is their coats are so soft and clean and their eyes are so clear. AND (and I don't want to be rude, so I'll say this as delicately as I can) their waste is far less odorous than cats who eat the McDonalds junk found in most stores, which is a definite plus for me! The health benefits are so obvious - I highly recommend Holistic Select!"
positive,1/7/21,"I bought this coffee because its much cheaper than the ganocafe and has the organic reishi mushroom as well as other healthy antioxidants.  I didn't expect it to taste good, but it actually does!  I've only had it for a few days and for $5 its totally worth it.  My sisters all take ganocafe but now I'm introducing them to this less expensive similar coffee.  I will follow up on this product in a few weeks.  :)"
positive,7/7/21,"Like the other people mentioned, this coffee has a great taste. I've tried different instant coffees before, but this one is one of the better ones. Another one of my favorites, if you want to try it out (though NOT organic), is 'Africafe pure instant coffee'"
positive,23/7/21,A good tasting light chip that has some value in nutrition.  Everyone get the munchies....is this is a good alternative to eating potato chips!
positive,20/7/21,"A grande item !  Delicious fish with the ultimate flavor, best  ever in a can for all purposes !  I sent a case to my Mother recently diagnosed with Diabetes, and she loves it as a main entree for cooking patties !"
positive,19/7/21,"I ordered this product two times now and have been very happy with both the delivery and the product.  It works great for cooking, baking and as a substitute sugar in my Chai lattes."
positive,18/6/21,"This stuff is great because it's low glycemic. Substitute this to sugar and you'll be doing your body a great favor.  This size is economical and shipping is fast, too.  I got mine very soon."
positive,7/7/21,These chips are the only ones I found to be tasty and healthy. They have fewer fat calories plus higher fiber for those who want good taste and nutrition--the perfect blend!
positive,27/6/21,"I used to buy these at the local supermarket, but they are no longer carried there.  Finding them on Amazon I purchased a box and found they were fresh and delicious as I remembered.  For chips they are also very healthy.  I definately will buy them again."
positive,21/7/21,"I've been feeding liver biscotti for years. I was looking for a healthy treat without additives for my epileptic dog (additives can be a seizure trigger) and liver biscotti filled the bill. The ingredients are top-quality. The bite-size bits are perfect for training and don't muck up your pockets. The bite-size portions also make it possible to give rewards without adding pounds, which is a problem with other treats.  And for dogs with wheat and other sensitivities, there is an anti-allergenic recipe. Enthusiastically recommended!"
positive,18/6/21,"I got these for my gf as she isn't supposed to eat any gluten.  All of the flavors taste great and they seem to be much healthier than regular potato chips.  If you are looking for a gluten-free snack, I highly recommend Popchips!"
positive,7/7/21,"I have a free sampling of these chips and I can see me swapping them for my regular chip cravings. They remind me of Munchos, but are less greasy. Try them."
positive,30/6/21,"I tried this chips in a hotel that I stayed at, and loved them! I ordered them for the office and everyone enjoyed them. I'm on my second order!"
positive,1/7/21,"I absolutely love Pop Chips as a healthy alternative to regular, fatty chips.  The Seat Salt and Pepper and the Sour Cream and Onion are my favorites.  I don't crave regular chips at all!"
positive,24/8/21,"I picked up a few bags of these at my local HEB and couldnt help but consume half of a bag in a day. The entire stock didnt last even a week for me.<br /><br />Many chips say they have a bold flavor but they never deliver. These, however, do. I tried the Garlic Parmessan chips and the first things I thought was how strong and delicious the parmessan was.. shortly followed by a garlic flavor. Combined with a sharp crunch, I cannot have enough of these chips. I'm almost afraid to buy a 24 pack because I know they won't last a month.<br /><br />It also helps that these things are pretty healthy for you. I mean, they are a potato crisp so you can't be entirely guilt-free... but I don't knock myself for going to town. I just avoid the potato chip aisle these are on when I need to lay low on the snack foods ;)"
positive,21/7/21,"I love these chips! They always make a great healthy snack when I'm stuck at work with just the vending machine for sustenance."
