model name,corpus,num topic,score
lda,bow,5,0.4799286846937399
lda,bow,6,0.4756912304595113
lda,bow,7,0.4627220526676292
lda,bow,8,0.4619251687859829
lda,bow,9,0.4419734805801509
lda,bow,10,0.4436065410807893
lda,bow,11,0.4321865685018271
lda,bow,12,0.44883420410734653
lda,bow,13,0.4240423284055362
lda,bow,14,0.4340639575260642
lda,tfidf,5,0.4277533086112002
lda,tfidf,6,0.41802682657070306
lda,tfidf,7,0.3880591684864095
lda,tfidf,8,0.3892028922637619
lda,tfidf,9,0.3617413720710513
lda,tfidf,10,0.35048294085043963
lda,tfidf,11,0.3503378732940848
lda,tfidf,12,0.38664406654781813
lda,tfidf,13,0.36334125566104297
lda,tfidf,14,0.3957392071617581
nmf,bow,5,0.5069947738449481
nmf,bow,6,0.4597850028097277
nmf,bow,7,0.47637496352707265
nmf,bow,8,0.5069005693869114
nmf,bow,9,0.4746852420516279
nmf,bow,10,0.4923437633616583
nmf,bow,11,0.48765151094995435
nmf,bow,12,0.5090680756743523
nmf,bow,13,0.5140221354361963
nmf,bow,14,0.48335993387824966
nmf,tfidf,5,0.4146162208440609
nmf,tfidf,6,0.43028968990133376
nmf,tfidf,7,0.4348123915474821
nmf,tfidf,8,0.42445287308111074
nmf,tfidf,9,0.40591926320926286
nmf,tfidf,10,0.40597560002384847
nmf,tfidf,11,0.420738730579521
nmf,tfidf,12,0.43878977243838735
nmf,tfidf,13,0.4378119317612917
nmf,tfidf,14,0.4018815361080114
lsa,bow,5,0.48527738869472437
lsa,bow,6,0.4778995949016885
lsa,bow,7,0.47456309751650255
lsa,bow,8,0.4899209011758888
lsa,bow,9,0.498601803347761
lsa,bow,10,0.4613494275053741
lsa,bow,11,0.46210359779321025
lsa,bow,12,0.4714850692273393
lsa,bow,13,0.45114084779316727
lsa,bow,14,0.4457249830076923
lsa,tfidf,5,0.4677782589721655
lsa,tfidf,6,0.5110426608780086
lsa,tfidf,7,0.5878512624464578
lsa,tfidf,8,0.4464028288985151
lsa,tfidf,9,0.4333859139878352
lsa,tfidf,10,0.5368241881994382
lsa,tfidf,11,0.43130966973053725
lsa,tfidf,12,0.41818316455671245
lsa,tfidf,13,0.43499343820778374
lsa,tfidf,14,0.42335695423975156
