Sentiment,Time,Text
positive,18/6/21,"['healthy', 'dog', 'food', 'good', 'digestion', 'good', 'small', 'puppy', 'dog', 'eats', 'required', 'feeding']"
positive,7/7/21,"['pleased', 'natural', 'balance', 'dog', 'food', 'dog', 'issue', 'dog', 'food', 'past', 'recommend', 'natural', 'balance', 'grain', 'free', 'possible', 'allergic', 'grain', 'switching', 'issue', 'helpful', 'different', 'kibble', 'size', 'sized', 'dog']"
positive,18/6/21,"['educated', 'feline', 'nutrition', 'allowed', 'cat', 'addicted', 'dry', 'cat', 'food', 'offered', 'canned', 'dry', 'wish', 'fed', 'premium', 'quality', 'canned', 'food', 'limited', 'dry', 'food', 'year', 'old', 'cat', 'year', 'old', 'cat', 'good', 'quality', 'dry', 'food', 'eat', 'wellness', 'innova', 'manufacturer', 'recently', 'purchased', 'began', 'looking', 'replacement', 'offering', 'sample', 'local', 'holistic', 'pet', 'store', 'holistic', 'select', 'usual', 'wellness', 'innova', 'eat', 'finicky', 'cat', 'recommend', 'trying', 'holistic', 'select', 'good', 'quality', 'food', 'palatable', 'finicky', 'eater']"
positive,7/7/21,"['holistic', 'vet', 'recommended', 'brand', 'tried', 'cat', 'prefer', 'especially', 'sardine', 'version', 'best', 'coat', 'soft', 'clean', 'eye', 'clear', 'want', 'rude', 'delicately', 'waste', 'far', 'odorous', 'cat', 'eat', 'mcdonalds', 'junk', 'store', 'definite', 'plus', 'health', 'benefit', 'obvious', 'highly', 'recommend', 'holistic', 'select']"
positive,1/7/21,"['bought', 'coffee', 'cheaper', 'ganocafe', 'organic', 'reishi', 'mushroom', 'healthy', 'antioxidant', 'expect', 'taste', 'good', 'actually', 'day', 'totally', 'worth', 'sister', 'ganocafe', 'introducing', 'expensive', 'similar', 'coffee', 'follow', 'product', 'week']"
positive,7/7/21,"['like', 'people', 'mentioned', 'coffee', 'great', 'taste', 'tried', 'different', 'instant', 'coffee', 'better', 'one', 'favorite', 'want', 'try', 'organic', 'africafe', 'pure', 'instant', 'coffee']"
positive,23/7/21,"['good', 'tasting', 'light', 'chip', 'value', 'nutrition', 'munchiesis', 'good', 'alternative', 'eating', 'potato', 'chip']"
positive,20/7/21,"['grande', 'item', 'delicious', 'fish', 'ultimate', 'flavor', 'best', 'purpose', 'sent', 'case', 'mother', 'recently', 'diagnosed', 'diabetes', 'love', 'main', 'entree', 'cooking', 'patty']"
positive,19/7/21,"['ordered', 'product', 'time', 'happy', 'delivery', 'product', 'work', 'great', 'cooking', 'baking', 'substitute', 'sugar', 'chai', 'latte']"
positive,18/6/21,"['stuff', 'great', 'low', 'glycemic', 'substitute', 'sugar', 'body', 'great', 'favor', 'size', 'economical', 'shipping', 'fast', 'got', 'soon']"
positive,7/7/21,"['chip', 'one', 'tasty', 'healthy', 'fewer', 'fat', 'calorie', 'plus', 'higher', 'fiber', 'want', 'good', 'taste', 'nutritionthe', 'perfect', 'blend']"
positive,27/6/21,"['buy', 'local', 'supermarket', 'longer', 'carried', 'finding', 'amazon', 'purchased', 'box', 'fresh', 'delicious', 'remembered', 'chip', 'healthy', 'definately', 'buy']"
positive,21/7/21,"['feeding', 'liver', 'biscotti', 'year', 'looking', 'healthy', 'treat', 'additive', 'epileptic', 'dog', 'additive', 'seizure', 'trigger', 'liver', 'biscotti', 'filled', 'ingredient', 'bit', 'perfect', 'training', 'muck', 'pocket', 'portion', 'possible', 'reward', 'adding', 'pound', 'problem', 'treat', 'dog', 'wheat', 'sensitivity', 'recipe', 'enthusiastically', 'recommended']"
positive,18/6/21,"['got', 'gf', 'supposed', 'eat', 'gluten', 'flavor', 'taste', 'great', 'healthier', 'regular', 'potato', 'chip', 'looking', 'snack', 'highly', 'recommend', 'popchips']"
positive,7/7/21,"['free', 'sampling', 'chip', 'swapping', 'regular', 'chip', 'craving', 'remind', 'munchos', 'greasy', 'try']"
positive,30/6/21,"['tried', 'chip', 'hotel', 'stayed', 'loved', 'ordered', 'office', 'enjoyed', 'second', 'order']"
positive,1/7/21,"['absolutely', 'love', 'pop', 'chip', 'healthy', 'alternative', 'regular', 'fatty', 'chip', 'seat', 'salt', 'pepper', 'sour', 'cream', 'onion', 'favorite', 'crave', 'regular', 'chip']"
positive,24/8/21,"['picked', 'bag', 'local', 'heb', 'help', 'consume', 'half', 'bag', 'day', 'entire', 'stock', 'week', 'chip', 'bold', 'flavor', 'deliver', 'tried', 'garlic', 'parmessan', 'chip', 'thing', 'thought', 'strong', 'delicious', 'parmessan', 'shortly', 'followed', 'garlic', 'flavor', 'combined', 'sharp', 'crunch', 'chip', 'afraid', 'buy', 'pack', 'know', 'help', 'thing', 'pretty', 'healthy', 'mean', 'potato', 'crisp', 'entirely', 'knock', 'going', 'town', 'avoid', 'potato', 'chip', 'aisle', 'need', 'lay', 'low', 'snack', 'food']"
positive,21/7/21,"['love', 'chip', 'great', 'healthy', 'snack', 'stuck', 'work', 'vending', 'machine', 'sustenance']"
positive,25/6/21,"['sun', 'chip', 'ok', 'substitute', 'usual', 'potato', 'corn', 'chip', 'cooked', 'oil', 'salted', 'nearly', 'thought', 'added', 'heart', 'healthy', 'diet', 'regime', 'good', 'style', 'texture', 'sheet', 'plywood']"
positive,13/9/21,"['chip', 'good', 'fun', 'getting', 'variety', 'pack', 'good', 'regular', 'chip', 'probably', 'nearly', 'fattening', 'bad', 'regular', 'chip', 'given', 'healthier', 'version', 'want', 'chip', 'highly', 'recommend']"
positive,18/6/21,"['tried', 'bbq', 'popchips', 'time', 'loved', 'got', 'value', 'pack', 'try', 'flavor', 'loved', 'salt', 'pepper', 'chip', 'great', 'good', 'healthy', 'snack', 'giving', 'taste', 'glad', 'discovered', 'salt', 'vinegar', 'favorite']"
